time;created;resolved;backlog
0;201;22;179
480;291;482;0
960;461;454;0
1440;284;291;0
1920;0;0;0
2400;0;0;0
2880;653;623;18
3360;744;636;126
3840;745;605;266
4320;791;616;441
4800;721;618;544
5280;0;0;544
5760;0;0;544
6240;737;611;670
6720;561;625;606
7200;629;609;626
7680;522;617;531
8160;560;630;461
8640;0;0;461
9120;0;0;461
9600;722;626;557
10080;745;614;688
10560;844;627;905
11040;813;630;1088
11520;484;611;961
12000;0;0;961
12480;0;0;961
12960;760;643;1078
13440;661;627;1112
13920;736;631;1217
14400;753;626;1344
14880;568;0;1912
15360;0;0;1912
15840;0;0;1912
16320;676;0;2588
16800;668;0;3256
17280;921;0;4177
17760;583;0;4760
18240;660;0;5420
18720;0;0;5420
19200;0;0;5420
19680;607;0;6027
20160;614;0;6641
20640;622;0;7263
21120;660;0;7923
21600;568;0;8491
22080;0;0;8491
22560;0;0;8491
23040;492;0;8983
23520;460;0;9443
24000;745;0;10188
24480;453;0;10641
24960;483;0;11124
25440;0;0;11124
25920;0;0;11124
26400;899;0;12023
26880;599;0;12622
27360;430;0;13052
27840;590;0;13642
28320;515;0;14157
28800;0;0;14157
29280;0;0;14157
29760;737;0;14894
30240;822;0;15716
30720;545;0;16261
31200;484;0;16745
31680;560;0;17305
32160;0;0;17305
32640;0;0;17305
33120;776;0;18081
33600;537;0;18618
34080;691;0;19309
34560;1036;0;20345
35040;591;0;20936
35520;0;0;20936
36000;0;0;20936
36480;691;0;21627
36960;776;0;22403
37440;606;0;23009
37920;798;0;23807
38400;553;0;24360
38880;0;0;24360
39360;0;0;24360
39840;592;0;24952
40320;660;0;25612
40800;591;0;26203
41280;506;0;26709
41760;576;0;27285
42240;0;0;27285
42720;0;0;27285
43200;545;0;27830
43680;615;0;28445
44160;552;0;28997
44640;722;0;29719
45120;507;0;30226
45600;0;0;30226
46080;0;0;30226
46560;814;0;31040
47040;607;0;31647
47520;629;0;32276
48000;545;0;32821
48480;476;0;33297
48960;0;0;33297
49440;0;0;33297
49920;569;0;33866
50400;529;0;34395
50880;453;0;34848
51360;407;0;35255
51840;154;0;35409
52320;0;0;35409
52800;0;0;35409
53280;1;0;35410
53760;1;0;35411
54240;552;0;35963
54720;369;0;36332
55200;491;0;36823
55680;0;0;36823
56160;0;0;36823
56640;776;0;37599
57120;445;0;38044
57600;208;0;38252
58080;589;0;38841
58560;507;0;39348
59040;0;0;39348
59520;0;0;39348
60000;407;0;39755
60480;568;0;40323
60960;545;0;40868
61440;445;0;41313
61920;461;0;41774
62400;0;0;41774
62880;0;0;41774
63360;561;0;42335
63840;622;0;42957
64320;652;0;43609
64800;591;0;44200
65280;430;0;44630
65760;0;0;44630
66240;0;0;44630
66720;783;0;45413
67200;707;0;46120
67680;499;0;46619
68160;667;0;47286
68640;676;0;47962
69120;0;0;47962
69600;0;0;47962
70080;607;0;48569
70560;652;0;49221
71040;614;0;49835
71520;246;0;50081
72000;430;0;50511
72480;0;0;50511
72960;0;0;50511
73440;499;0;51010
73920;361;0;51371
74400;614;0;51985
74880;691;0;52676
75360;422;0;53098
75840;0;0;53098
76320;0;0;53098
76800;346;0;53444
77280;667;0;54111
77760;461;0;54572
78240;698;0;55270
78720;430;0;55700
79200;0;0;55700
79680;0;0;55700
80160;492;0;56192
80640;675;0;56867
81120;476;0;57343
81600;507;0;57850
82080;567;0;58417
82560;0;0;58417
83040;0;0;58417
83520;684;0;59101
84000;790;0;59891
84480;545;0;60436
84960;614;0;61050
85440;683;0;61733
85920;0;0;61733
86400;0;0;61733
86880;522;0;62255
87360;852;0;63107
87840;730;0;63837
88320;775;0;64612
88800;721;0;65333
89280;0;0;65333
89760;0;0;65333
90240;638;0;65971
90720;874;0;66845
91200;469;0;67314
91680;498;0;67812
92160;400;0;68212
92640;0;0;68212
93120;0;0;68212
93600;407;0;68619
94080;553;0;69172
94560;461;0;69633
95040;384;0;70017
95520;644;0;70661
96000;0;0;70661
96480;0;0;70661
96960;553;0;71214
97440;537;0;71751
97920;576;0;72327
98400;438;0;72765
98880;468;0;73233
99360;0;0;73233
99840;0;0;73233
100320;515;0;73748
100800;483;0;74231
101280;553;0;74784
101760;491;0;75275
102240;361;0;75636
102720;0;0;75636
