month;day;Seasonality;expert;standard;rookie;season-expert;season-standard;season-rookie
10;1;0.888888889;11;13;4;10;12;4
10;2;0.916666667;11;13;4;10;12;4
10;3;0.972222222;11;13;4;11;13;4
10;4;0.972222222;11;13;4;11;13;4
10;5;0.944444444;11;13;4;10;12;4
10;6;0.972222222;11;13;4;11;13;4
10;7;0.972222222;11;13;4;11;13;4
10;8;0.972222222;11;13;4;11;13;4
10;9;0.972222222;11;13;4;11;13;4
10;10;0.972222222;11;13;4;11;13;4
10;11;0.972222222;11;13;4;11;13;4
10;12;0.972222222;11;13;4;11;13;4
10;13;0.944444444;11;13;4;10;12;4
10;14;0.972222222;11;13;4;11;13;4
10;15;0.972222222;11;13;4;11;13;4
10;16;0.972222222;11;13;4;11;13;4
10;17;0.972222222;11;13;4;11;13;4
10;18;0.972222222;11;13;4;11;13;4
10;19;0.972222222;11;13;4;11;13;4
10;20;0.944444444;11;13;4;10;12;4
10;21;0.972222222;11;13;4;11;13;4
10;22;0.972222222;11;13;4;11;13;4
10;23;0.972222222;11;13;4;11;13;4
10;24;0.972222222;11;13;4;11;13;4
10;25;0.972222222;11;13;4;11;13;4
10;26;0.944444444;11;13;4;10;12;4
10;27;0.944444444;11;13;4;10;12;4
10;28;0.888888889;11;13;4;10;12;4
10;29;0.916666667;11;13;4;10;12;4
10;30;0.916666667;11;13;4;10;12;4
10;31;0.972222222;11;13;4;11;13;4
11;1;0.972222222;11;13;4;11;13;4
11;2;0.888888889;11;13;4;10;12;4
11;3;0.861111111;11;13;4;9;11;3
11;4;0.861111111;11;13;4;9;11;3
11;5;0.861111111;11;13;4;9;11;3
11;6;0.861111111;11;13;4;9;11;3
11;7;0.944444444;11;13;4;10;12;4
11;8;0.944444444;11;13;4;10;12;4
11;9;0.944444444;11;13;4;10;12;4
11;10;0.944444444;11;13;4;10;12;4
11;11;0.972222222;11;13;4;11;13;4
11;12;0.972222222;11;13;4;11;13;4
11;13;0.944444444;11;13;4;10;12;4
11;14;0.972222222;11;13;4;11;13;4
11;15;0.972222222;11;13;4;11;13;4
11;16;0.972222222;11;13;4;11;13;4
11;17;0.972222222;11;13;4;11;13;4
11;18;0.944444444;11;13;4;10;12;4
11;19;0.944444444;11;13;4;10;12;4
11;20;0.972222222;11;13;4;11;13;4
11;21;0.972222222;11;13;4;11;13;4
11;22;0.972222222;11;13;4;11;13;4
11;23;0.972222222;11;13;4;11;13;4
11;24;0.972222222;11;13;4;11;13;4
11;25;0.972222222;11;13;4;11;13;4
11;26;0.972222222;11;13;4;11;13;4
11;27;0.972222222;11;13;4;11;13;4
11;28;0.972222222;11;13;4;11;13;4
11;29;0.972222222;11;13;4;11;13;4
11;30;0.972222222;11;13;4;11;13;4
12;1;0.972222222;11;13;4;11;13;4
12;2;0.972222222;11;13;4;11;13;4
12;3;0.972222222;11;13;4;11;13;4
12;4;0.972222222;11;13;4;11;13;4
12;5;0.972222222;11;13;4;11;13;4
12;6;0.972222222;11;13;4;11;13;4
12;7;0.916666667;11;13;4;10;12;4
12;8;0.916666667;11;13;4;10;12;4
12;9;0.944444444;11;13;4;10;12;4
12;10;0.916666667;11;13;4;10;12;4
12;11;0.916666667;11;13;4;10;12;4
12;12;0.972222222;11;13;4;11;13;4
12;13;0.972222222;11;13;4;11;13;4
12;14;0.972222222;11;13;4;11;13;4
12;15;0.972222222;11;13;4;11;13;4
12;16;0.944444444;11;13;4;10;12;4
12;17;0.972222222;11;13;4;11;13;4
12;18;0.972222222;11;13;4;11;13;4
